Black brutal
2015,03,01,37500,5030,0
2015,03,02,37500,6279,0
2015,03,03,37500,7528,0
2015,03,04,37500,8776,0
2015,03,05,37500,10025,0
2015,03,06,37500,11274,0
2015,03,07,37500,12523,0
2015,03,08,37500,13772,0
2015,03,09,37500,15021,0
2015,03,10,37500,16269,0
2015,03,11,37500,17518,0
2015,03,12,37500,18767,0
2015,03,13,37500,20016,0
2015,03,14,37500,21265,0
2015,03,15,37500,22514,0
2015,03,16,37500,23762,0
2015,03,17,37500,25011,0
2015,03,18,37500,26260,0
2015,03,19,37500,27509,0
2015,03,20,37500,28758,0
2015,03,21,37500,30007,0
2015,03,22,37500,31255,0
2015,03,23,37500,32504,0
2015,03,24,37500,33753,0
2015,03,25,37500,35002,0
2015,03,26,37500,36251,0
2015,03,27,37500,37500,0
2015,03,28,37500,37500,0
2015,03,29,37500,37500,0
2015,03,30,37500,37500,0
2015,03,31,37500,37500,0
2015,04,01,37500,37500,0
2015,04,02,37500,37500,0
2015,04,03,37500,37500,0
2015,04,04,37500,37500,0
2015,04,05,37500,37500,0
2015,04,06,37500,37500,0
2015,04,07,37500,37500,0
2015,04,08,37500,37500,0
2015,04,09,37500,37500,0
2015,04,10,37500,37500,0
2015,04,11,37500,37500,0
2015,04,12,37500,37500,0
2015,04,13,37500,37500,0
2015,04,14,37500,37500,0
2015,04,15,37500,37500,0
2015,04,16,37500,37500,0
2015,04,17,37500,37500,0
2015,04,18,37500,37500,0
2015,04,19,37500,37500,0
2015,04,20,37500,37500,0
2015,04,21,37500,37500,0
2015,04,22,37500,37500,0
2015,04,23,37500,37500,0
2015,04,24,37500,37500,0
2015,04,25,37500,37500,0
2015,04,26,37500,37500,0
2015,04,27,37500,37500,0
2015,04,28,37500,37500,0
2015,04,29,37500,37500,0
2015,04,30,37500,37500,0
2015,05,01,37500,37500,0
2015,05,02,37500,37500,0
2015,05,03,37500,37500,0
2015,05,04,37500,37500,0
2015,05,05,37500,37500,0
2015,05,06,37500,37500,0
2015,05,07,37500,37500,0
2015,05,08,37500,37500,0
2015,05,09,37500,37500,0
2015,05,10,37500,37500,0
2015,05,11,37500,37500,0
2015,05,12,37500,37500,0
2015,05,13,37500,37500,0
2015,05,14,37500,37500,0
2015,05,15,37500,37500,0
2015,05,16,37500,37500,0
2015,05,17,37500,37500,0
2015,05,18,37500,37500,0
2015,05,19,37500,37500,0
2015,05,20,37500,37500,0
2015,05,21,37500,37500,0
2015,05,22,37500,37500,0
2015,05,23,37500,37500,0
2015,05,24,37500,37500,0
2015,05,25,37500,37500,0
2015,05,26,37500,37500,0
2015,05,27,37500,37500,0
2015,05,28,37500,37500,0
2015,05,29,37500,37500,0
2015,05,30,37500,37500,0
2015,05,31,37500,37500,0
2015,06,01,37500,37500,0
2015,06,02,37500,37500,0
2015,06,03,37500,37500,0
2015,06,04,37500,37500,0
2015,06,05,37500,37500,0
2015,06,06,37500,37500,0
2015,06,07,37500,37500,0
2015,06,08,37500,37500,0
2015,06,09,37500,37500,0
2015,06,10,37500,37500,0
2015,06,11,37500,37500,0
2015,06,12,37500,37500,0
2015,06,13,37500,37500,0
2015,06,14,37500,37500,0
2015,06,15,37500,37500,0
2015,06,16,37500,37500,0
2015,06,17,37500,37500,0
2015,06,18,37500,37500,0
2015,06,19,37500,37500,0
2015,06,20,37500,37500,0
2015,06,21,37500,37500,0
2015,06,22,37500,37500,0
2015,06,23,37500,37500,0
2015,06,24,37500,37500,0
2015,06,25,37500,37500,0
2015,06,26,37500,37500,0
2015,06,27,37500,37500,0
2015,06,28,37500,37500,0
2015,06,29,37500,37500,0
2015,06,30,37500,37500,0
2015,07,01,37500,37500,0
2015,07,02,37500,37500,0
2015,07,03,37500,37500,0
2015,07,04,37500,37500,0
2015,07,05,37500,37500,0
2015,07,06,37500,37500,0
2015,07,07,37500,37500,0
2015,07,08,37500,37500,0
2015,07,09,37500,37500,0
2015,07,10,37500,37500,0
2015,07,11,37500,37500,0
2015,07,12,37500,37500,0
2015,07,13,37500,37500,0
2015,07,14,37500,37500,0
2015,07,15,37500,37500,0
2015,07,16,37500,37500,0
2015,07,17,37500,37500,0
2015,07,18,37500,37500,0
2015,07,19,37500,37500,0
2015,07,20,37500,37500,0
2015,07,21,37500,37500,0
2015,07,22,37500,37500,0
2015,07,23,37500,37500,0
2015,07,24,37500,37500,0
2015,07,25,37500,37500,0
2015,07,26,37500,37500,0
2015,07,27,37500,37500,0
2015,07,28,37500,37500,0
2015,07,29,37500,37500,0
2015,07,30,37500,37500,0
2015,07,31,37500,37500,0
2015,08,01,37500,37500,16
2015,08,02,37500,37500,0
2015,08,03,37500,37500,0
2015,08,04,37500,37500,1
2015,08,05,37500,37500,0
2015,08,06,37500,37500,0
2015,08,07,37500,37500,1
2015,08,08,37500,37500,3
2015,08,09,37500,37500,0
2015,08,10,37500,37500,0
2015,08,11,37500,37500,0
2015,08,12,37500,37500,1
2015,08,13,37500,37500,2
2015,08,14,37500,37500,43
2015,08,15,37500,37500,0
2015,08,16,37500,37500,2
2015,08,17,37500,37500,2
2015,08,18,37500,37500,10
2015,08,19,37500,37500,0
2015,08,20,37500,37500,7
2015,08,21,37500,37500,0
2015,08,22,37500,37500,58
2015,08,23,37500,37500,0
2015,08,24,37500,37500,62
2015,08,25,37500,37500,0
2015,08,26,37500,37500,1
2015,08,27,37500,37500,0
2015,08,28,37500,37500,1
2015,08,29,37500,37500,0
2015,08,30,37500,37500,51
2015,08,31,37500,37500,2
2015,09,01,37500,37500,0
2015,09,02,37500,37500,0
2015,09,03,37500,37500,18
2015,09,04,37500,37500,0
2015,09,05,37500,37500,2
2015,09,06,37500,37500,2
2015,09,07,37500,37500,0
2015,09,08,37500,37500,6
2015,09,09,37500,37500,0
2015,09,10,37500,37500,0
2015,09,11,37500,37500,0
2015,09,12,37500,37500,1
2015,09,13,37500,37500,0
2015,09,14,37500,37500,1
2015,09,15,37500,37500,1
2015,09,16,37500,37500,1
2015,09,17,37500,37500,0
2015,09,18,37500,37500,0
2015,09,19,37500,37500,10
2015,09,20,37500,37500,0
2015,09,21,37500,37500,0
2015,09,22,37500,37500,1
2015,09,23,37500,37500,7
2015,09,24,37500,37500,0
2015,09,25,37500,37500,3123
2015,09,26,35723,37440,2618
2015,09,27,35723,37381,1513
2015,09,28,35723,37322,210
2015,09,29,35723,37263,506
2015,09,30,35723,37203,119
2015,10,01,35723,37144,300
2015,10,02,35723,37085,844
2015,10,03,35723,37026,777
2015,10,04,35723,36966,603
2015,10,05,35723,36907,181
2015,10,06,35723,36848,329
2015,10,07,35723,36789,779
2015,10,08,35723,36729,254
2015,10,09,35723,36670,12
2015,10,10,35723,36611,0
2015,10,11,35723,36552,33
2015,10,12,35723,36493,2
2015,10,13,35723,36433,1
2015,10,14,35723,36374,6
2015,10,15,35723,36315,1
2015,10,16,35723,36256,113
2015,10,17,35723,36196,8
2015,10,18,35723,36137,4
2015,10,19,35723,36078,2
2015,10,20,35723,36019,1
2015,10,21,35723,35959,1
2015,10,22,35723,35900,0
2015,10,23,35723,35841,0
2015,10,24,35723,35782,20
2015,10,25,35723,35723,25
2015,10,26,35723,35723,4
2015,10,27,35723,35723,10
2015,10,28,35723,35723,1
2015,10,29,35723,35723,1
2015,10,30,35723,35723,1
2015,10,31,35723,35723,0
2015,11,01,35723,35723,0
2015,11,02,35723,35723,0
2015,11,03,35723,35723,0
2015,11,04,35723,35723,0
2015,11,05,35723,35723,1
2015,11,06,35723,35723,0
2015,11,07,35723,35723,0
2015,11,08,35723,35723,0
2015,11,09,35723,35723,0
2015,11,10,35723,35723,1
2015,11,11,35723,35723,0
2015,11,12,35723,35723,0
2015,11,13,35723,35723,0
2015,11,14,35723,35723,0
2015,11,15,35723,35723,0
2015,11,16,35723,35723,2
2015,11,17,35723,35723,0
2015,11,18,35723,35723,0
2015,11,19,35723,35723,0
2015,11,20,35723,35723,0
2015,11,21,35723,35723,84
2015,11,22,35723,35723,0
2015,11,23,35723,35723,0
2015,11,24,35723,35723,0
2015,11,25,35723,35723,0
2015,11,26,35723,35723,0
