Mithril hasta(p+)
2015,03,01,10030,3157,0
2015,03,02,10030,3421,0
2015,03,03,10030,3686,0
2015,03,04,10030,3950,0
2015,03,05,10030,4214,0
2015,03,06,10030,4479,0
2015,03,07,10030,4743,0
2015,03,08,10030,5007,0
2015,03,09,10030,5272,0
2015,03,10,10030,5536,0
2015,03,11,10030,5800,0
2015,03,12,10030,6065,0
2015,03,13,10030,6329,0
2015,03,14,10030,6593,0
2015,03,15,10030,6858,0
2015,03,16,10030,7122,0
2015,03,17,10030,7386,0
2015,03,18,10030,7651,0
2015,03,19,10030,7915,0
2015,03,20,10030,8179,0
2015,03,21,10030,8444,0
2015,03,22,10030,8708,0
2015,03,23,10030,8972,0
2015,03,24,10030,9237,0
2015,03,25,10030,9501,0
2015,03,26,10030,9765,0
2015,03,27,10030,10030,0
2015,03,28,10030,10030,0
2015,03,29,10030,10030,0
2015,03,30,10030,10030,0
2015,03,31,10030,10030,0
2015,04,01,10030,10030,0
2015,04,02,10030,10030,0
2015,04,03,10030,10030,0
2015,04,04,10030,10030,0
2015,04,05,10030,10030,0
2015,04,06,10030,10030,0
2015,04,07,10030,10030,0
2015,04,08,10030,10030,0
2015,04,09,10030,10030,0
2015,04,10,10030,10030,0
2015,04,11,10030,10030,0
2015,04,12,10030,10030,0
2015,04,13,10030,10030,0
2015,04,14,10030,10030,0
2015,04,15,10030,10030,0
2015,04,16,10030,10030,0
2015,04,17,10030,10030,0
2015,04,18,10030,10030,0
2015,04,19,10030,10030,0
2015,04,20,10030,10030,0
2015,04,21,10030,10030,0
2015,04,22,10030,10030,0
2015,04,23,10030,10030,0
2015,04,24,10030,10030,0
2015,04,25,10030,10030,0
2015,04,26,10030,10030,0
2015,04,27,10030,10030,0
2015,04,28,10030,10030,0
2015,04,29,10030,10030,0
2015,04,30,10030,10030,0
2015,05,01,10030,10030,0
2015,05,02,10030,10030,0
2015,05,03,10030,10030,0
2015,05,04,10030,10030,0
2015,05,05,10030,10030,0
2015,05,06,10030,10030,0
2015,05,07,10030,10030,0
2015,05,08,10030,10030,0
2015,05,09,10030,10030,0
2015,05,10,10030,10030,0
2015,05,11,10030,10030,0
2015,05,12,10030,10030,0
2015,05,13,10030,10030,0
2015,05,14,10030,10030,0
2015,05,15,10030,10030,0
2015,05,16,10030,10030,0
2015,05,17,10030,10030,0
2015,05,18,10030,10030,0
2015,05,19,10030,10030,0
2015,05,20,10030,10030,0
2015,05,21,10030,10030,0
2015,05,22,10030,10030,0
2015,05,23,10030,10030,0
2015,05,24,10030,10030,0
2015,05,25,10030,10030,0
2015,05,26,10030,10030,0
2015,05,27,10030,10030,0
2015,05,28,10030,10030,0
2015,05,29,10030,10030,0
2015,05,30,10030,10030,0
2015,05,31,10030,10030,0
2015,06,01,10030,10030,0
2015,06,02,10030,10030,0
2015,06,03,10030,10030,0
2015,06,04,10030,10030,0
2015,06,05,10030,10030,0
2015,06,06,10030,10030,0
2015,06,07,10030,10030,0
2015,06,08,10030,10030,0
2015,06,09,10030,10030,0
2015,06,10,10030,10030,0
2015,06,11,10030,10030,0
2015,06,12,10030,10030,0
2015,06,13,10030,10030,0
2015,06,14,10030,10030,0
2015,06,15,10030,10030,0
2015,06,16,10030,10030,0
2015,06,17,10030,10030,0
2015,06,18,10030,10030,0
2015,06,19,10030,10030,0
2015,06,20,10030,10030,0
2015,06,21,10030,10030,0
2015,06,22,10030,10030,0
2015,06,23,10030,10030,0
2015,06,24,10030,10030,0
2015,06,25,10030,10030,0
2015,06,26,10030,10030,0
2015,06,27,10030,10030,0
2015,06,28,10030,10030,0
2015,06,29,10030,10030,0
2015,06,30,10030,10030,0
2015,07,01,10030,10030,0
2015,07,02,10030,10030,0
2015,07,03,10030,10030,0
2015,07,04,10030,10030,0
2015,07,05,10030,10030,0
2015,07,06,10030,10030,0
2015,07,07,10030,10030,0
2015,07,08,10030,10030,0
2015,07,09,10030,10030,0
2015,07,10,10030,10030,0
2015,07,11,10030,10030,0
2015,07,12,10030,10030,0
2015,07,13,10030,10030,0
2015,07,14,10030,10030,0
2015,07,15,10030,10030,0
2015,07,16,10030,10030,0
2015,07,17,10030,10030,0
2015,07,18,10030,10030,0
2015,07,19,10030,10030,0
2015,07,20,10030,10030,0
2015,07,21,10030,10030,0
2015,07,22,10030,10030,0
2015,07,23,10030,10030,0
2015,07,24,10030,10030,0
2015,07,25,10030,10030,0
2015,07,26,10030,10030,0
2015,07,27,10030,10030,0
2015,07,28,10030,10030,0
2015,07,29,10030,10030,0
2015,07,30,10030,10030,0
2015,07,31,10030,10030,0
2015,08,01,10030,10030,0
2015,08,02,10030,10030,0
2015,08,03,10030,10030,0
2015,08,04,10030,10030,0
2015,08,05,10030,10030,0
2015,08,06,10030,10030,0
2015,08,07,10030,10030,0
2015,08,08,10030,10030,0
2015,08,09,10030,10030,0
2015,08,10,10030,10030,0
2015,08,11,10030,10030,0
2015,08,12,10030,10030,0
2015,08,13,10030,10030,0
2015,08,14,10030,10030,0
2015,08,15,10030,10030,0
2015,08,16,10030,10030,0
2015,08,17,10030,10030,0
2015,08,18,10030,10030,0
2015,08,19,10030,10030,0
2015,08,20,10030,10030,0
2015,08,21,10030,10030,0
2015,08,22,10030,10030,0
2015,08,23,10030,10030,0
2015,08,24,10030,10030,0
2015,08,25,10030,10030,0
2015,08,26,10030,10030,0
2015,08,27,10030,10030,0
