Black dart(p+)
2015,03,01,11,17,0
2015,03,02,11,16,0
2015,03,03,11,16,0
2015,03,04,11,16,0
2015,03,05,11,16,0
2015,03,06,11,15,0
2015,03,07,11,15,0
2015,03,08,11,15,0
2015,03,09,11,15,0
2015,03,10,11,14,0
2015,03,11,11,14,0
2015,03,12,11,14,0
2015,03,13,11,14,0
2015,03,14,11,14,0
2015,03,15,11,13,0
2015,03,16,11,13,0
2015,03,17,11,13,0
2015,03,18,11,13,0
2015,03,19,11,12,0
2015,03,20,11,12,0
2015,03,21,11,12,0
2015,03,22,11,12,0
2015,03,23,11,11,0
2015,03,24,11,11,0
2015,03,25,11,11,0
2015,03,26,11,11,0
2015,03,27,11,11,0
2015,03,28,11,11,0
2015,03,29,11,11,0
2015,03,30,11,11,0
2015,03,31,11,11,0
2015,04,01,11,11,0
2015,04,02,11,11,0
2015,04,03,11,11,0
2015,04,04,11,11,0
2015,04,05,11,11,0
2015,04,06,11,11,0
2015,04,07,11,11,0
2015,04,08,11,11,0
2015,04,09,11,11,0
2015,04,10,11,11,0
2015,04,11,11,11,0
2015,04,12,11,11,0
2015,04,13,11,11,0
2015,04,14,11,11,0
2015,04,15,11,11,0
2015,04,16,11,11,0
2015,04,17,11,11,0
2015,04,18,11,11,0
2015,04,19,11,11,0
2015,04,20,11,11,0
2015,04,21,11,11,0
2015,04,22,11,11,0
2015,04,23,11,11,0
2015,04,24,11,11,0
2015,04,25,11,11,0
2015,04,26,11,11,0
2015,04,27,11,11,0
2015,04,28,11,11,0
2015,04,29,11,11,0
2015,04,30,11,11,0
2015,05,01,11,11,0
2015,05,02,11,11,0
2015,05,03,11,11,0
2015,05,04,11,11,0
2015,05,05,11,11,0
2015,05,06,11,11,0
2015,05,07,11,11,0
2015,05,08,11,11,0
2015,05,09,11,11,0
2015,05,10,11,11,0
2015,05,11,11,11,0
2015,05,12,11,11,0
2015,05,13,11,11,0
2015,05,14,11,11,0
2015,05,15,11,11,0
2015,05,16,11,11,0
2015,05,17,11,11,0
2015,05,18,11,11,0
2015,05,19,11,11,0
2015,05,20,11,11,0
2015,05,21,11,11,0
2015,05,22,11,11,0
2015,05,23,11,11,0
2015,05,24,11,11,0
2015,05,25,11,11,0
2015,05,26,11,11,0
2015,05,27,11,11,0
2015,05,28,11,11,0
2015,05,29,11,11,0
2015,05,30,11,11,0
2015,05,31,11,11,0
2015,06,01,11,11,0
2015,06,02,11,11,0
2015,06,03,11,11,0
2015,06,04,11,11,0
2015,06,05,11,11,0
2015,06,06,11,11,0
2015,06,07,11,11,0
2015,06,08,11,11,0
2015,06,09,11,11,0
2015,06,10,11,11,0
2015,06,11,11,11,0
2015,06,12,11,11,0
2015,06,13,11,11,0
2015,06,14,11,11,0
2015,06,15,11,11,0
2015,06,16,11,11,0
2015,06,17,11,11,0
2015,06,18,11,11,0
2015,06,19,11,11,0
2015,06,20,11,11,0
2015,06,21,11,11,0
2015,06,22,11,11,0
2015,06,23,11,11,0
2015,06,24,11,11,0
2015,06,25,11,11,0
2015,06,26,11,11,0
2015,06,27,11,11,0
2015,06,28,11,11,0
2015,06,29,11,11,0
2015,06,30,11,11,0
2015,07,01,11,11,0
2015,07,02,11,11,0
2015,07,03,11,11,0
2015,07,04,11,11,0
2015,07,05,11,11,0
2015,07,06,11,11,0
2015,07,07,11,11,0
2015,07,08,11,11,0
2015,07,09,11,11,0
2015,07,10,11,11,0
2015,07,11,11,11,0
2015,07,12,11,11,0
2015,07,13,11,11,0
2015,07,14,11,11,0
2015,07,15,11,11,0
2015,07,16,11,11,0
2015,07,17,11,11,0
2015,07,18,11,11,0
2015,07,19,11,11,0
2015,07,20,11,11,0
2015,07,21,11,11,0
2015,07,22,11,11,0
2015,07,23,11,11,0
2015,07,24,11,11,0
2015,07,25,11,11,0
2015,07,26,11,11,0
2015,07,27,11,11,0
2015,07,28,11,11,0
2015,07,29,11,11,0
2015,07,30,11,11,0
2015,07,31,11,11,0
2015,08,01,11,11,0
2015,08,02,11,11,0
2015,08,03,11,11,0
2015,08,04,11,11,0
2015,08,05,11,11,0
2015,08,06,11,11,0
2015,08,07,11,11,0
2015,08,08,11,11,0
2015,08,09,11,11,0
2015,08,10,11,11,0
2015,08,11,11,11,0
2015,08,12,11,11,0
2015,08,13,11,11,0
2015,08,14,11,11,0
2015,08,15,11,11,0
2015,08,16,11,11,0
2015,08,17,11,11,0
2015,08,18,11,11,0
2015,08,19,11,11,0
2015,08,20,11,11,0
2015,08,21,11,11,0
2015,08,22,11,11,0
2015,08,23,11,11,0
2015,08,24,11,11,0
2015,08,25,11,11,0
2015,08,26,11,11,0
2015,08,27,11,11,0
2015,08,28,11,11,0
2015,08,29,11,11,0
2015,08,30,11,11,0
2015,08,31,11,11,0
2015,09,01,11,11,0
2015,09,02,11,11,0
2015,09,03,11,11,0
2015,09,04,11,11,0
2015,09,05,11,11,0
2015,09,06,11,11,0
2015,09,07,11,11,0
2015,09,08,11,11,0
2015,09,09,11,11,0
2015,09,10,11,11,0
2015,09,11,11,11,0
2015,09,12,11,11,0
2015,09,13,11,11,0
2015,09,14,11,11,0
2015,09,15,11,11,0
2015,09,16,11,11,0
2015,09,17,11,11,0
2015,09,18,11,11,0
2015,09,19,11,11,0
2015,09,20,11,11,0
2015,09,21,11,11,0
2015,09,22,11,11,0
2015,09,23,11,11,0
2015,09,24,11,11,0
2015,09,25,11,11,0
2015,09,26,11,11,0
2015,09,27,11,11,0
2015,09,28,11,11,0
2015,09,29,11,11,0
2015,09,30,11,11,0
2015,10,01,11,11,0
2015,10,02,11,11,0
2015,10,03,11,11,0
2015,10,04,11,11,0
2015,10,05,11,11,0
2015,10,06,11,11,0
2015,10,07,11,11,0
2015,10,08,11,11,0
2015,10,09,11,11,0
2015,10,10,11,11,0
2015,10,11,11,11,0
2015,10,12,11,11,0
2015,10,13,11,11,0
2015,10,14,11,11,0
2015,10,15,11,11,0
2015,10,16,11,11,0
2015,10,17,11,11,0
2015,10,18,11,11,0
2015,10,19,11,11,0
2015,10,20,11,11,0
2015,10,21,11,11,0
2015,10,22,11,11,0
2015,10,23,11,11,0
2015,10,24,11,11,0
2015,10,25,11,11,0
2015,10,26,11,11,0
2015,10,27,11,11,0
2015,10,28,11,11,0
2015,10,29,11,11,0
2015,10,30,11,11,0
2015,10,31,11,11,0
2015,11,01,11,11,0
2015,11,02,11,11,0
2015,11,03,11,11,0
2015,11,04,11,11,0
2015,11,05,11,11,0
2015,11,06,11,11,0
2015,11,07,11,11,0
2015,11,08,11,11,0
2015,11,09,11,11,0
2015,11,10,11,11,0
2015,11,11,11,11,0
2015,11,12,11,11,0
2015,11,13,11,11,0
2015,11,14,11,11,0
2015,11,15,11,11,0
2015,11,16,11,11,0
2015,11,17,11,11,0
2015,11,18,11,11,0
2015,11,19,11,11,0
2015,11,20,11,11,0
2015,11,21,11,11,0
2015,11,22,11,11,0
2015,11,23,11,11,0
2015,11,24,11,11,0
2015,11,25,11,11,0
2015,11,26,11,11,0
2015,11,27,11,11,0
2015,11,28,11,11,0
2015,11,29,11,11,0
2015,11,30,11,11,0
2015,12,01,11,11,0
2015,12,02,11,11,0
2015,12,03,11,11,0
2015,12,04,11,11,0
2015,12,05,11,11,0
2015,12,06,11,11,0
2015,12,07,11,11,0
2015,12,08,11,11,0
2015,12,09,11,11,0
2015,12,10,11,11,0
2015,12,11,11,11,0
2015,12,12,11,11,0
2015,12,13,11,11,0
2015,12,14,11,11,0
2015,12,15,11,11,0
2015,12,16,11,11,0
2015,12,17,11,11,0
2015,12,18,11,11,0
2015,12,19,11,11,0
2015,12,20,11,11,0
2015,12,21,11,11,0
2015,12,22,11,11,0
2015,12,23,11,11,0
2015,12,24,11,11,0
2015,12,25,11,11,0
2015,12,26,11,11,0
2015,12,27,11,11,0
2015,12,28,11,11,0
2015,12,29,11,11,0
2015,12,30,11,11,0
2015,12,31,11,11,0
2016,01,01,11,11,0
2016,01,02,11,11,0
2016,01,03,11,11,0
2016,01,04,11,11,0
2016,01,05,11,11,0
2016,01,06,11,11,0
2016,01,07,11,11,0
2016,01,08,11,11,0
