Oak dresser
2015,03,01,110,23,0
2015,03,02,110,26,0
2015,03,03,110,30,0
2015,03,04,110,33,0
2015,03,05,110,36,0
2015,03,06,110,40,0
2015,03,07,110,43,0
2015,03,08,110,46,0
2015,03,09,110,50,0
2015,03,10,110,53,0
2015,03,11,110,56,0
2015,03,12,110,60,0
2015,03,13,110,63,0
2015,03,14,110,66,0
2015,03,15,110,70,0
2015,03,16,110,73,0
2015,03,17,110,76,0
2015,03,18,110,80,0
2015,03,19,110,83,0
2015,03,20,110,86,0
2015,03,21,110,90,0
2015,03,22,110,93,0
2015,03,23,110,96,0
2015,03,24,110,100,0
2015,03,25,110,103,0
2015,03,26,110,106,0
2015,03,27,110,110,0
2015,03,28,110,110,0
2015,03,29,110,110,0
2015,03,30,110,110,0
2015,03,31,110,110,0
2015,04,01,110,110,0
2015,04,02,110,110,0
2015,04,03,110,110,0
2015,04,04,110,110,0
2015,04,05,110,110,0
2015,04,06,110,110,0
2015,04,07,110,110,0
2015,04,08,110,110,0
2015,04,09,110,110,0
2015,04,10,110,110,0
2015,04,11,110,110,0
2015,04,12,110,110,0
2015,04,13,110,110,0
2015,04,14,110,110,0
2015,04,15,110,110,0
2015,04,16,110,110,0
2015,04,17,110,110,0
2015,04,18,110,110,0
2015,04,19,110,110,0
2015,04,20,110,110,0
2015,04,21,110,110,0
2015,04,22,110,110,0
2015,04,23,110,110,0
2015,04,24,110,110,0
2015,04,25,110,110,0
2015,04,26,110,110,0
2015,04,27,110,110,0
2015,04,28,110,110,0
2015,04,29,110,110,0
2015,04,30,110,110,0
2015,05,01,110,110,0
2015,05,02,110,110,0
2015,05,03,110,110,0
2015,05,04,110,110,0
2015,05,05,110,110,0
2015,05,06,110,110,0
2015,05,07,110,110,0
2015,05,08,110,110,0
2015,05,09,110,110,0
2015,05,10,110,110,0
2015,05,11,110,110,0
2015,05,12,110,110,0
2015,05,13,110,110,0
2015,05,14,110,110,0
2015,05,15,110,110,0
2015,05,16,110,110,0
2015,05,17,110,110,0
2015,05,18,110,110,0
2015,05,19,110,110,0
2015,05,20,110,110,0
2015,05,21,110,110,0
2015,05,22,110,110,0
2015,05,23,110,110,0
2015,05,24,110,110,0
2015,05,25,110,110,0
2015,05,26,110,110,0
2015,05,27,110,110,0
2015,05,28,110,110,0
2015,05,29,110,110,0
2015,05,30,110,110,0
2015,05,31,110,110,0
2015,06,01,110,110,0
2015,06,02,110,110,0
2015,06,03,110,110,0
2015,06,04,110,110,0
2015,06,05,110,110,0
2015,06,06,110,110,0
2015,06,07,110,110,0
2015,06,08,110,110,0
2015,06,09,110,110,0
2015,06,10,110,110,0
2015,06,11,110,110,0
2015,06,12,110,110,0
2015,06,13,110,110,0
2015,06,14,110,110,0
2015,06,15,110,110,0
2015,06,16,110,110,0
2015,06,17,110,110,0
2015,06,18,110,110,0
2015,06,19,110,110,0
2015,06,20,110,110,0
2015,06,21,110,110,0
2015,06,22,110,110,0
2015,06,23,110,110,0
2015,06,24,110,110,0
2015,06,25,110,110,0
2015,06,26,110,110,0
2015,06,27,110,110,0
2015,06,28,110,110,0
2015,06,29,110,110,0
2015,06,30,110,110,0
2015,07,01,110,110,0
2015,07,02,110,110,0
2015,07,03,110,110,0
2015,07,04,110,110,0
2015,07,05,110,110,0
2015,07,06,110,110,0
2015,07,07,110,110,0
2015,07,08,110,110,0
2015,07,09,110,110,0
2015,07,10,110,110,0
2015,07,11,110,110,0
2015,07,12,110,110,0
2015,07,13,110,110,0
2015,07,14,110,110,0
2015,07,15,110,110,0
2015,07,16,110,110,0
2015,07,17,110,110,0
2015,07,18,110,110,0
2015,07,19,110,110,0
2015,07,20,110,110,0
2015,07,21,110,110,0
2015,07,22,110,110,0
2015,07,23,110,110,0
2015,07,24,110,110,0
2015,07,25,110,110,0
2015,07,26,110,110,0
2015,07,27,110,110,0
2015,07,28,110,110,0
2015,07,29,110,110,0
2015,07,30,110,110,0
2015,07,31,110,110,0
2015,08,01,110,110,0
2015,08,02,110,110,0
2015,08,03,110,110,0
2015,08,04,110,110,0
2015,08,05,110,110,0
2015,08,06,110,110,0
2015,08,07,110,110,0
2015,08,08,110,110,0
2015,08,09,110,110,0
2015,08,10,110,110,0
