Premade p' punch
2015,03,01,20,28,0
2015,03,02,20,28,0
2015,03,03,20,28,0
2015,03,04,20,27,0
2015,03,05,20,27,0
2015,03,06,20,27,0
2015,03,07,20,26,0
2015,03,08,20,26,0
2015,03,09,20,26,0
2015,03,10,20,25,0
2015,03,11,20,25,0
2015,03,12,20,25,0
2015,03,13,20,24,0
2015,03,14,20,24,0
2015,03,15,20,24,0
2015,03,16,20,23,0
2015,03,17,20,23,0
2015,03,18,20,23,0
2015,03,19,20,22,0
2015,03,20,20,22,0
2015,03,21,20,22,0
2015,03,22,20,21,0
2015,03,23,20,21,0
2015,03,24,20,21,0
2015,03,25,20,20,0
2015,03,26,20,20,0
2015,03,27,20,20,0
2015,03,28,20,20,0
2015,03,29,20,20,0
2015,03,30,20,20,0
2015,03,31,20,20,0
2015,04,01,20,20,0
2015,04,02,20,20,0
2015,04,03,20,20,0
2015,04,04,20,20,0
2015,04,05,20,20,0
2015,04,06,20,20,0
2015,04,07,20,20,0
2015,04,08,20,20,0
2015,04,09,20,20,0
2015,04,10,20,20,0
2015,04,11,20,20,0
2015,04,12,20,20,0
2015,04,13,20,20,0
2015,04,14,20,20,0
2015,04,15,20,20,0
2015,04,16,20,20,0
2015,04,17,20,20,0
2015,04,18,20,20,0
2015,04,19,20,20,0
2015,04,20,20,20,0
2015,04,21,20,20,0
2015,04,22,20,20,0
2015,04,23,20,20,0
2015,04,24,20,20,0
2015,04,25,20,20,0
2015,04,26,20,20,0
2015,04,27,20,20,0
2015,04,28,20,20,0
2015,04,29,20,20,0
2015,04,30,20,20,0
2015,05,01,20,20,0
2015,05,02,20,20,0
2015,05,03,20,20,0
2015,05,04,20,20,0
2015,05,05,20,20,0
2015,05,06,20,20,0
2015,05,07,20,20,0
2015,05,08,20,20,0
2015,05,09,20,20,0
2015,05,10,20,20,0
2015,05,11,20,20,0
2015,05,12,20,20,0
2015,05,13,20,20,0
2015,05,14,20,20,0
2015,05,15,20,20,0
2015,05,16,20,20,0
2015,05,17,20,20,0
2015,05,18,20,20,0
2015,05,19,20,20,0
2015,05,20,20,20,0
2015,05,21,20,20,0
2015,05,22,20,20,0
2015,05,23,20,20,0
2015,05,24,20,20,0
2015,05,25,20,20,0
2015,05,26,20,20,0
2015,05,27,20,20,0
2015,05,28,20,20,0
2015,05,29,20,20,0
2015,05,30,20,20,0
2015,05,31,20,20,0
2015,06,01,20,20,0
2015,06,02,20,20,0
2015,06,03,20,20,0
2015,06,04,20,20,0
2015,06,05,20,20,0
2015,06,06,20,20,0
2015,06,07,20,20,0
2015,06,08,20,20,0
2015,06,09,20,20,0
2015,06,10,20,20,0
2015,06,11,20,20,0
2015,06,12,20,20,0
2015,06,13,20,20,0
2015,06,14,20,20,0
2015,06,15,20,20,0
2015,06,16,20,20,0
2015,06,17,20,20,0
2015,06,18,20,20,0
2015,06,19,20,20,0
2015,06,20,20,20,0
2015,06,21,20,20,0
2015,06,22,20,20,0
2015,06,23,20,20,0
2015,06,24,20,20,0
2015,06,25,20,20,0
2015,06,26,20,20,0
2015,06,27,20,20,0
2015,06,28,20,20,0
2015,06,29,20,20,0
2015,06,30,20,20,0
2015,07,01,20,20,0
2015,07,02,20,20,0
2015,07,03,20,20,0
2015,07,04,20,20,0
2015,07,05,20,20,0
2015,07,06,20,20,0
2015,07,07,20,20,0
2015,07,08,20,20,0
2015,07,09,20,20,0
2015,07,10,20,20,0
2015,07,11,20,20,0
2015,07,12,20,20,0
2015,07,13,20,20,0
2015,07,14,20,20,0
2015,07,15,20,20,0
2015,07,16,20,20,0
2015,07,17,20,20,0
2015,07,18,20,20,0
2015,07,19,20,20,0
2015,07,20,20,20,0
2015,07,21,20,20,0
2015,07,22,20,20,0
2015,07,23,20,20,0
2015,07,24,20,20,0
2015,07,25,20,20,0
2015,07,26,20,20,0
2015,07,27,20,20,0
2015,07,28,20,20,0
2015,07,29,20,20,0
2015,07,30,20,20,0
2015,07,31,20,20,0
2015,08,01,20,20,21
2015,08,02,20,20,0
2015,08,03,20,20,1
2015,08,04,20,20,0
2015,08,05,20,20,0
2015,08,06,20,20,0
2015,08,07,20,20,1
2015,08,08,20,20,0
2015,08,09,20,20,0
2015,08,10,20,20,0
2015,08,11,20,20,0
2015,08,12,20,20,0
2015,08,13,20,20,0
2015,08,14,20,20,4
2015,08,15,20,20,6
2015,08,16,20,20,0
2015,08,17,20,20,0
2015,08,18,20,20,1
2015,08,19,20,20,0
2015,08,20,20,20,1
2015,08,21,20,20,0
2015,08,22,20,20,8
2015,08,23,20,20,0
2015,08,24,20,20,6
2015,08,25,20,20,1
2015,08,26,20,20,0
2015,08,27,20,20,0
