Mind bomb(m4)
2015,03,01,15000,2000,0
2015,03,02,15000,2500,0
2015,03,03,15000,3000,0
2015,03,04,15000,3500,0
2015,03,05,15000,4000,0
2015,03,06,15000,4500,0
2015,03,07,15000,5000,0
2015,03,08,15000,5500,0
2015,03,09,15000,6000,0
2015,03,10,15000,6500,0
2015,03,11,15000,7000,0
2015,03,12,15000,7500,0
2015,03,13,15000,8000,0
2015,03,14,15000,8500,0
2015,03,15,15000,9000,0
2015,03,16,15000,9500,0
2015,03,17,15000,10000,0
2015,03,18,15000,10500,0
2015,03,19,15000,11000,0
2015,03,20,15000,11500,0
2015,03,21,15000,12000,0
2015,03,22,15000,12500,0
2015,03,23,15000,13000,0
2015,03,24,15000,13500,0
2015,03,25,15000,14000,0
2015,03,26,15000,14500,0
2015,03,27,15000,15000,0
2015,03,28,15000,15000,0
2015,03,29,15000,15000,0
2015,03,30,15000,15000,0
2015,03,31,15000,15000,0
2015,04,01,15000,15000,0
2015,04,02,15000,15000,0
2015,04,03,15000,15000,0
2015,04,04,15000,15000,0
2015,04,05,15000,15000,0
2015,04,06,15000,15000,0
2015,04,07,15000,15000,0
2015,04,08,15000,15000,0
2015,04,09,15000,15000,0
2015,04,10,15000,15000,0
2015,04,11,15000,15000,0
2015,04,12,15000,15000,0
2015,04,13,15000,15000,0
2015,04,14,15000,15000,0
2015,04,15,15000,15000,0
2015,04,16,15000,15000,0
2015,04,17,15000,15000,0
2015,04,18,15000,15000,0
2015,04,19,15000,15000,0
2015,04,20,15000,15000,0
2015,04,21,15000,15000,0
2015,04,22,15000,15000,0
2015,04,23,15000,15000,0
2015,04,24,15000,15000,0
2015,04,25,15000,15000,0
2015,04,26,15000,15000,0
2015,04,27,15000,15000,0
2015,04,28,15000,15000,0
2015,04,29,15000,15000,0
2015,04,30,15000,15000,0
2015,05,01,15000,15000,0
2015,05,02,15000,15000,0
2015,05,03,15000,15000,0
2015,05,04,15000,15000,0
2015,05,05,15000,15000,0
2015,05,06,15000,15000,0
2015,05,07,15000,15000,0
2015,05,08,15000,15000,0
2015,05,09,15000,15000,0
2015,05,10,15000,15000,0
2015,05,11,15000,15000,0
2015,05,12,15000,15000,0
2015,05,13,15000,15000,0
2015,05,14,15000,15000,0
2015,05,15,15000,15000,0
2015,05,16,15000,15000,0
2015,05,17,15000,15000,0
2015,05,18,15000,15000,0
2015,05,19,15000,15000,0
2015,05,20,15000,15000,0
2015,05,21,15000,15000,0
2015,05,22,15000,15000,0
2015,05,23,15000,15000,0
2015,05,24,15000,15000,0
2015,05,25,15000,15000,0
2015,05,26,15000,15000,0
2015,05,27,15000,15000,0
2015,05,28,15000,15000,0
2015,05,29,15000,15000,0
2015,05,30,15000,15000,0
2015,05,31,15000,15000,0
2015,06,01,15000,15000,0
2015,06,02,15000,15000,0
2015,06,03,15000,15000,0
2015,06,04,15000,15000,0
2015,06,05,15000,15000,0
2015,06,06,15000,15000,0
2015,06,07,15000,15000,0
2015,06,08,15000,15000,0
2015,06,09,15000,15000,0
2015,06,10,15000,15000,0
2015,06,11,15000,15000,0
2015,06,12,15000,15000,0
2015,06,13,15000,15000,0
2015,06,14,15000,15000,0
2015,06,15,15000,15000,0
2015,06,16,15000,15000,0
2015,06,17,15000,15000,0
2015,06,18,15000,15000,0
2015,06,19,15000,15000,0
2015,06,20,15000,15000,0
2015,06,21,15000,15000,0
2015,06,22,15000,15000,0
2015,06,23,15000,15000,0
2015,06,24,15000,15000,0
2015,06,25,15000,15000,0
2015,06,26,15000,15000,0
2015,06,27,15000,15000,0
2015,06,28,15000,15000,0
2015,06,29,15000,15000,0
2015,06,30,15000,15000,0
2015,07,01,15000,15000,0
2015,07,02,15000,15000,0
2015,07,03,15000,15000,0
2015,07,04,15000,15000,0
2015,07,05,15000,15000,0
2015,07,06,15000,15000,0
2015,07,07,15000,15000,0
2015,07,08,15000,15000,0
2015,07,09,15000,15000,0
2015,07,10,15000,15000,0
2015,07,11,15000,15000,0
2015,07,12,15000,15000,0
2015,07,13,15000,15000,0
2015,07,14,15000,15000,0
2015,07,15,15000,15000,0
2015,07,16,15000,15000,0
2015,07,17,15000,15000,0
2015,07,18,15000,15000,0
2015,07,19,15000,15000,0
2015,07,20,15000,15000,0
2015,07,21,15000,15000,0
2015,07,22,15000,15000,0
2015,07,23,15000,15000,0
2015,07,24,15000,15000,0
2015,07,25,15000,15000,0
2015,07,26,15000,15000,0
2015,07,27,15000,15000,0
2015,07,28,15000,15000,0
2015,07,29,15000,15000,0
2015,07,30,15000,15000,0
2015,07,31,15000,15000,0
2015,08,01,15000,15000,0
2015,08,02,15000,15000,0
2015,08,03,15000,15000,0
2015,08,04,15000,15000,0
2015,08,05,15000,15000,0
2015,08,06,15000,15000,0
2015,08,07,15000,15000,0
2015,08,08,15000,15000,0
2015,08,09,15000,15000,0
2015,08,10,15000,15000,0
2015,08,11,15000,15000,0
2015,08,12,15000,15000,0
2015,08,13,15000,15000,0
2015,08,14,15000,15000,0
2015,08,15,15000,15000,0
2015,08,16,15000,15000,0
2015,08,17,15000,15000,0
2015,08,18,15000,15000,0
2015,08,19,15000,15000,0
2015,08,20,15000,15000,0
2015,08,21,15000,15000,0
2015,08,22,15000,15000,0
2015,08,23,15000,15000,0
2015,08,24,15000,15000,0
2015,08,25,15000,15000,0
2015,08,26,15000,15000,0
2015,08,27,15000,15000,0
