Circular hide
2015,03,01,70000,9385,0
2015,03,02,70000,11716,0
2015,03,03,70000,14048,0
2015,03,04,70000,16379,0
2015,03,05,70000,18710,0
2015,03,06,70000,21042,0
2015,03,07,70000,23373,0
2015,03,08,70000,25704,0
2015,03,09,70000,28036,0
2015,03,10,70000,30367,0
2015,03,11,70000,32698,0
2015,03,12,70000,35030,0
2015,03,13,70000,37361,0
2015,03,14,70000,39692,0
2015,03,15,70000,42024,0
2015,03,16,70000,44355,0
2015,03,17,70000,46686,0
2015,03,18,70000,49018,0
2015,03,19,70000,51349,0
2015,03,20,70000,53680,0
2015,03,21,70000,56012,0
2015,03,22,70000,58343,0
2015,03,23,70000,60674,0
2015,03,24,70000,63006,0
2015,03,25,70000,65337,0
2015,03,26,70000,67668,0
2015,03,27,70000,70000,0
2015,03,28,70000,70000,0
2015,03,29,70000,70000,0
2015,03,30,70000,70000,0
2015,03,31,70000,70000,0
2015,04,01,70000,70000,0
2015,04,02,70000,70000,0
2015,04,03,70000,70000,0
2015,04,04,70000,70000,0
2015,04,05,70000,70000,0
2015,04,06,70000,70000,0
2015,04,07,70000,70000,0
2015,04,08,70000,70000,0
2015,04,09,70000,70000,0
2015,04,10,70000,70000,0
2015,04,11,70000,70000,0
2015,04,12,70000,70000,0
2015,04,13,70000,70000,0
2015,04,14,70000,70000,0
2015,04,15,70000,70000,0
2015,04,16,70000,70000,0
2015,04,17,70000,70000,0
2015,04,18,70000,70000,0
2015,04,19,70000,70000,0
2015,04,20,70000,70000,0
2015,04,21,70000,70000,0
2015,04,22,70000,70000,0
2015,04,23,70000,70000,0
2015,04,24,70000,70000,0
2015,04,25,70000,70000,0
2015,04,26,70000,70000,0
2015,04,27,70000,70000,0
2015,04,28,70000,70000,0
2015,04,29,70000,70000,0
2015,04,30,70000,70000,0
2015,05,01,70000,70000,0
2015,05,02,70000,70000,0
2015,05,03,70000,70000,0
2015,05,04,70000,70000,0
2015,05,05,70000,70000,0
2015,05,06,70000,70000,0
2015,05,07,70000,70000,0
2015,05,08,70000,70000,0
2015,05,09,70000,70000,0
2015,05,10,70000,70000,0
2015,05,11,70000,70000,0
2015,05,12,70000,70000,0
2015,05,13,70000,70000,0
2015,05,14,70000,70000,0
2015,05,15,70000,70000,0
2015,05,16,70000,70000,0
2015,05,17,70000,70000,0
2015,05,18,70000,70000,0
2015,05,19,70000,70000,0
2015,05,20,70000,70000,0
2015,05,21,70000,70000,0
2015,05,22,70000,70000,0
2015,05,23,70000,70000,0
2015,05,24,70000,70000,0
2015,05,25,70000,70000,0
2015,05,26,70000,70000,0
2015,05,27,70000,70000,0
2015,05,28,70000,70000,0
2015,05,29,70000,70000,0
2015,05,30,70000,70000,0
2015,05,31,70000,70000,0
2015,06,01,70000,70000,0
2015,06,02,70000,70000,0
2015,06,03,70000,70000,0
2015,06,04,70000,70000,0
2015,06,05,70000,70000,0
2015,06,06,70000,70000,0
2015,06,07,70000,70000,0
2015,06,08,70000,70000,0
2015,06,09,70000,70000,0
2015,06,10,70000,70000,0
2015,06,11,70000,70000,0
2015,06,12,70000,70000,0
2015,06,13,70000,70000,0
2015,06,14,70000,70000,0
2015,06,15,70000,70000,0
2015,06,16,70000,70000,0
2015,06,17,70000,70000,0
2015,06,18,70000,70000,0
2015,06,19,70000,70000,0
2015,06,20,70000,70000,0
2015,06,21,70000,70000,0
2015,06,22,70000,70000,0
2015,06,23,70000,70000,0
2015,06,24,70000,70000,0
2015,06,25,70000,70000,0
2015,06,26,70000,70000,0
2015,06,27,70000,70000,0
2015,06,28,70000,70000,0
2015,06,29,70000,70000,0
2015,06,30,70000,70000,0
2015,07,01,70000,70000,0
2015,07,02,70000,70000,0
2015,07,03,70000,70000,0
2015,07,04,70000,70000,0
2015,07,05,70000,70000,0
2015,07,06,70000,70000,0
2015,07,07,70000,70000,0
2015,07,08,70000,70000,0
2015,07,09,70000,70000,0
2015,07,10,70000,70000,0
2015,07,11,70000,70000,0
2015,07,12,70000,70000,0
2015,07,13,70000,70000,0
2015,07,14,70000,70000,0
2015,07,15,70000,70000,0
2015,07,16,70000,70000,0
2015,07,17,70000,70000,0
2015,07,18,70000,70000,0
2015,07,19,70000,70000,0
2015,07,20,70000,70000,0
2015,07,21,70000,70000,0
2015,07,22,70000,70000,0
2015,07,23,70000,70000,0
2015,07,24,70000,70000,0
2015,07,25,70000,70000,0
2015,07,26,70000,70000,0
2015,07,27,70000,70000,0
2015,07,28,70000,70000,0
2015,07,29,70000,70000,0
2015,07,30,70000,70000,0
2015,07,31,70000,70000,0
2015,08,01,70000,70000,0
2015,08,02,70000,70000,0
2015,08,03,70000,70000,1
2015,08,04,70000,70000,0
2015,08,05,70000,70000,0
2015,08,06,70000,70000,1
2015,08,07,70000,70000,0
2015,08,08,70000,70000,0
2015,08,09,70000,70000,0
2015,08,10,70000,70000,0
2015,08,11,70000,70000,0
2015,08,12,70000,70000,0
2015,08,13,70000,70000,0
2015,08,14,70000,70000,0
2015,08,15,70000,70000,0
2015,08,16,70000,70000,0
2015,08,17,70000,70000,0
2015,08,18,70000,70000,0
2015,08,19,70000,70000,0
2015,08,20,70000,70000,1
2015,08,21,70000,70000,0
2015,08,22,70000,70000,0
2015,08,23,70000,70000,1
2015,08,24,70000,70000,0
2015,08,25,70000,70000,0
2015,08,26,70000,70000,0
2015,08,27,70000,70000,1
2015,08,28,70966,70032,0
2015,08,29,70966,70064,0
2015,08,30,70966,70096,1
2015,08,31,70966,70128,0
2015,09,01,70966,70161,0
2015,09,02,70966,70193,1
2015,09,03,70966,70225,1
2015,09,04,70966,70257,0
2015,09,05,70966,70289,1
2015,09,06,70966,70322,1
2015,09,07,70966,70354,0
2015,09,08,70966,70386,1
2015,09,09,70966,70418,0
2015,09,10,70966,70450,1
2015,09,11,70966,70483,0
2015,09,12,70966,70515,0
2015,09,13,70966,70547,0
2015,09,14,70966,70579,0
2015,09,15,70966,70611,0
2015,09,16,70966,70644,0
2015,09,17,70966,70676,0
2015,09,18,70966,70708,0
2015,09,19,70966,70740,0
2015,09,20,70966,70772,1
2015,09,21,70966,70805,0
2015,09,22,70966,70837,4
2015,09,23,70966,70869,0
2015,09,24,70966,70901,0
2015,09,25,70966,70933,0
2015,09,26,70966,70966,1
2015,09,27,70966,70966,0
2015,09,28,70966,70966,0
2015,09,29,70966,70966,0
2015,09,30,70966,70966,0
2015,10,01,70966,70966,0
2015,10,02,70966,70966,0
2015,10,03,70966,70966,1
2015,10,04,70966,70966,0
2015,10,05,70966,70966,0
2015,10,06,70966,70966,2
2015,10,07,70966,70966,0
2015,10,08,70966,70966,0
2015,10,09,70966,70966,0
2015,10,10,70966,70966,0
2015,10,11,70966,70966,0
2015,10,12,70966,70966,0
2015,10,13,70966,70966,0
2015,10,14,70966,70966,0
2015,10,15,70966,70966,0
2015,10,16,70966,70966,0
2015,10,17,70966,70966,0
2015,10,18,70966,70966,1
2015,10,19,70966,70966,0
2015,10,20,70966,70966,1
2015,10,21,70966,70966,0
2015,10,22,70966,70966,0
2015,10,23,70966,70966,0
2015,10,24,70966,70966,0
2015,10,25,70966,70966,1
2015,10,26,70966,70966,0
2015,10,27,70966,70966,0
2015,10,28,70966,70966,1
2015,10,29,70966,70966,0
2015,10,30,70966,70966,0
2015,10,31,70966,70966,0
2015,11,01,70966,70966,0
2015,11,02,70966,70966,1
2015,11,03,70966,70966,0
2015,11,04,70966,70966,0
2015,11,05,70966,70966,0
2015,11,06,70966,70966,0
2015,11,07,70966,70966,3
2015,11,08,70966,70966,2
2015,11,09,70966,70966,0
2015,11,10,70966,70966,0
2015,11,11,70966,70966,1
2015,11,12,70966,70966,0
2015,11,13,70966,70966,0
2015,11,14,70966,70966,0
2015,11,15,70966,70966,0
2015,11,16,70966,70966,0
2015,11,17,70966,70966,0
2015,11,18,70966,70966,0
2015,11,19,70966,70966,0
2015,11,20,70966,70966,0
2015,11,21,70966,70966,0
2015,11,22,70966,70966,0
2015,11,23,70966,70966,0
2015,11,24,70966,70966,0
2015,11,25,70966,70966,0
2015,11,26,70966,70966,0
2015,11,27,70966,70966,0
2015,11,28,70966,70966,21
2015,11,29,70966,70966,0
2015,11,30,70966,70966,0
2015,12,01,70966,70966,1
2015,12,02,70966,70966,0
2015,12,03,70966,70966,0
2015,12,04,70966,70966,0
2015,12,05,70966,70966,0
2015,12,06,70966,70966,0
2015,12,07,70966,70966,0
2015,12,08,70966,70966,0
2015,12,09,70966,70966,0
2015,12,10,70966,70966,0
2015,12,11,70966,70966,0
2015,12,12,70966,70966,1
2015,12,13,70966,70966,0
2015,12,14,70966,70966,1
2015,12,15,70966,70966,0
2015,12,16,70966,70966,0
2015,12,17,70966,70966,1
2015,12,18,70966,70966,0
2015,12,19,70966,70966,1
2015,12,20,70966,70966,0
2015,12,21,70966,70966,0
2015,12,22,70966,70966,2
2015,12,23,70966,70966,0
2015,12,24,70966,70966,0
2015,12,25,70966,70966,0
2015,12,26,70966,70966,0
2015,12,27,70966,70966,3
2015,12,28,70966,70966,0
2015,12,29,70966,70966,1
2015,12,30,70966,70966,1
2015,12,31,70966,70966,2
2016,01,01,70966,70966,0
2016,01,02,70966,70966,0
2016,01,03,70966,70966,3
2016,01,04,70966,70966,2
2016,01,05,70966,70966,2
2016,01,06,70966,70966,0
2016,01,07,70966,70966,1
2016,01,08,70966,70966,0
