Onyx amulet
2015,03,01,3085000,4788000,0
2015,03,02,3085000,4722500,0
2015,03,03,3085000,4657000,0
2015,03,04,3085000,4591500,0
2015,03,05,3085000,4526000,0
2015,03,06,3085000,4460500,0
2015,03,07,3085000,4395000,0
2015,03,08,3085000,4329500,0
2015,03,09,3085000,4264000,0
2015,03,10,3085000,4198500,0
2015,03,11,3085000,4133000,0
2015,03,12,3085000,4067500,0
2015,03,13,3085000,4002000,0
2015,03,14,3085000,3936500,0
2015,03,15,3085000,3871000,0
2015,03,16,3085000,3805500,0
2015,03,17,3085000,3740000,0
2015,03,18,3085000,3674500,0
2015,03,19,3085000,3609000,0
2015,03,20,3085000,3543500,0
2015,03,21,3085000,3478000,0
2015,03,22,3085000,3412500,0
2015,03,23,3085000,3347000,0
2015,03,24,3085000,3281500,0
2015,03,25,3085000,3216000,0
2015,03,26,3085000,3150500,0
2015,03,27,3085000,3085000,0
2015,03,28,3085000,3085000,0
2015,03,29,3085000,3085000,0
2015,03,30,3085000,3085000,0
2015,03,31,3085000,3085000,0
2015,04,01,3085000,3085000,0
2015,04,02,3085000,3085000,0
2015,04,03,3085000,3085000,0
2015,04,04,3085000,3085000,0
2015,04,05,3085000,3085000,0
2015,04,06,3085000,3085000,0
2015,04,07,3085000,3085000,0
2015,04,08,3085000,3085000,0
2015,04,09,3085000,3085000,0
2015,04,10,3085000,3085000,0
2015,04,11,3085000,3085000,0
2015,04,12,3085000,3085000,0
2015,04,13,3085000,3085000,0
2015,04,14,3085000,3085000,0
2015,04,15,3085000,3085000,0
2015,04,16,3085000,3085000,0
2015,04,17,3085000,3085000,0
2015,04,18,3085000,3085000,0
2015,04,19,3085000,3085000,0
2015,04,20,3085000,3085000,0
2015,04,21,3085000,3085000,0
2015,04,22,3085000,3085000,0
2015,04,23,3085000,3085000,0
2015,04,24,3085000,3085000,0
2015,04,25,3085000,3085000,0
2015,04,26,3085000,3085000,0
2015,04,27,3085000,3085000,0
2015,04,28,3085000,3085000,0
2015,04,29,3085000,3085000,0
2015,04,30,3085000,3085000,0
2015,05,01,3085000,3085000,0
2015,05,02,3085000,3085000,0
2015,05,03,3085000,3085000,0
2015,05,04,3085000,3085000,0
2015,05,05,3085000,3085000,0
2015,05,06,3085000,3085000,0
2015,05,07,3085000,3085000,0
2015,05,08,3085000,3085000,0
2015,05,09,3085000,3085000,0
2015,05,10,3085000,3085000,0
2015,05,11,3085000,3085000,0
2015,05,12,3085000,3085000,0
2015,05,13,3085000,3085000,0
2015,05,14,3085000,3085000,0
2015,05,15,3085000,3085000,0
2015,05,16,3085000,3085000,0
2015,05,17,3085000,3085000,0
2015,05,18,3085000,3085000,0
2015,05,19,3085000,3085000,0
2015,05,20,3085000,3085000,0
2015,05,21,3085000,3085000,0
2015,05,22,3085000,3085000,0
2015,05,23,3085000,3085000,0
2015,05,24,3085000,3085000,0
2015,05,25,3085000,3085000,0
2015,05,26,3085000,3085000,0
2015,05,27,3085000,3085000,0
2015,05,28,3085000,3085000,0
2015,05,29,3085000,3085000,0
2015,05,30,3085000,3085000,0
2015,05,31,3085000,3085000,0
2015,06,01,3085000,3085000,0
2015,06,02,3085000,3085000,0
2015,06,03,3085000,3085000,0
2015,06,04,3085000,3085000,0
2015,06,05,3085000,3085000,0
2015,06,06,3085000,3085000,0
2015,06,07,3085000,3085000,0
2015,06,08,3085000,3085000,0
2015,06,09,3085000,3085000,0
2015,06,10,3085000,3085000,0
2015,06,11,3085000,3085000,0
2015,06,12,3085000,3085000,0
2015,06,13,3085000,3085000,0
2015,06,14,3085000,3085000,0
2015,06,15,3085000,3085000,0
2015,06,16,3085000,3085000,0
2015,06,17,3085000,3085000,0
2015,06,18,3085000,3085000,0
2015,06,19,3085000,3085000,0
2015,06,20,3085000,3085000,0
2015,06,21,3085000,3085000,0
2015,06,22,3085000,3085000,0
2015,06,23,3085000,3085000,0
2015,06,24,3085000,3085000,0
2015,06,25,3085000,3085000,0
2015,06,26,3085000,3085000,0
2015,06,27,3085000,3085000,0
2015,06,28,3112044,3085901,0
2015,06,29,3112044,3086802,0
2015,06,30,3112044,3087704,0
2015,07,01,3112044,3088605,0
2015,07,02,3112044,3089507,0
2015,07,03,3112044,3090408,0
2015,07,04,3112044,3091310,0
2015,07,05,3112044,3092211,0
2015,07,06,3112044,3093113,0
2015,07,07,3112044,3094014,0
2015,07,08,3112044,3094916,0
2015,07,09,3112044,3095817,0
2015,07,10,3112044,3096719,0
2015,07,11,3112044,3097620,0
2015,07,12,3112044,3098522,0
2015,07,13,3112044,3099423,0
2015,07,14,3112044,3100324,0
2015,07,15,3112044,3101226,0
2015,07,16,3112044,3102127,0
2015,07,17,3112044,3103029,0
2015,07,18,3112044,3103930,0
2015,07,19,3112044,3104832,0
2015,07,20,3112044,3105733,0
2015,07,21,3112044,3106635,0
2015,07,22,3112044,3107536,0
2015,07,23,3112044,3108438,0
2015,07,24,3112044,3109339,0
2015,07,25,3112044,3110241,0
2015,07,26,3112044,3111142,0
2015,07,27,3112044,3112044,0
2015,07,28,3112044,3112044,0
2015,07,29,3112044,3112044,0
2015,07,30,3112044,3112044,0
2015,07,31,3112044,3112044,0
2015,08,01,3112044,3112044,0
2015,08,02,3112044,3112044,0
2015,08,03,3112044,3112044,0
2015,08,04,3112044,3112044,0
2015,08,05,3112044,3112044,0
2015,08,06,3112044,3112044,1
2015,08,07,3112044,3112044,0
2015,08,08,3112044,3112044,0
2015,08,09,3112044,3112044,0
2015,08,10,3112044,3112044,0
2015,08,11,3112044,3112044,0
2015,08,12,3112044,3112044,0
2015,08,13,3112044,3112044,0
2015,08,14,3112044,3112044,0
2015,08,15,3112044,3112044,0
2015,08,16,3112044,3112044,0
2015,08,17,3112044,3112044,0
2015,08,18,3112044,3112044,0
2015,08,19,3112044,3112044,0
2015,08,20,3112044,3112044,0
2015,08,21,3112044,3112044,0
2015,08,22,3112044,3112044,0
2015,08,23,3112044,3112044,0
2015,08,24,3112044,3112044,0
2015,08,25,3112044,3112044,0
2015,08,26,3112044,3112044,0
2015,08,27,3112044,3112044,0
2015,08,28,3112044,3112044,1
2015,08,29,3112044,3112044,2
2015,08,30,3112044,3112044,0
2015,08,31,3112044,3112044,0
2015,09,01,3112044,3112044,0
2015,09,02,3112044,3112044,0
2015,09,03,3112044,3112044,0
2015,09,04,3112044,3112044,0
2015,09,05,3112044,3112044,0
2015,09,06,3112044,3112044,0
2015,09,07,3112044,3112044,0
2015,09,08,3112044,3112044,0
2015,09,09,3112044,3112044,0
2015,09,10,3112044,3112044,0
2015,09,11,3112044,3112044,1
2015,09,12,3112044,3112044,1
2015,09,13,3112044,3112044,0
2015,09,14,3112044,3112044,0
2015,09,15,3112044,3112044,3
2015,09,16,3112044,3112044,0
2015,09,17,3112044,3112044,1
2015,09,18,3112044,3112044,3
2015,09,19,3112044,3112044,3
2015,09,20,3112044,3112044,2
2015,09,21,3112044,3112044,0
2015,09,22,3112044,3112044,0
2015,09,23,3112044,3112044,0
2015,09,24,3112044,3112044,1
2015,09,25,3112044,3112044,1
2015,09,26,3112044,3112044,4
2015,09,27,3112044,3112044,0
2015,09,28,3112044,3112044,1
2015,09,29,3112044,3112044,1
2015,09,30,3112044,3112044,9
2015,10,01,3112044,3112044,3
2015,10,02,3112044,3112044,4
2015,10,03,3112044,3112044,2
2015,10,04,3112044,3112044,3
2015,10,05,3112044,3112044,3
2015,10,06,3112044,3112044,2
2015,10,07,3112044,3112044,1
2015,10,08,3112044,3112044,4
2015,10,09,3112044,3112044,2
2015,10,10,3112044,3112044,0
2015,10,11,3112044,3112044,1
2015,10,12,3112044,3112044,3
2015,10,13,3112044,3112044,0
2015,10,14,3112044,3112044,1
2015,10,15,3112044,3112044,5
2015,10,16,3112044,3112044,5
2015,10,17,3112044,3112044,3
2015,10,18,3112044,3112044,0
2015,10,19,3112044,3112044,2
2015,10,20,3112044,3112044,4
2015,10,21,3112044,3112044,3
2015,10,22,3112044,3112044,0
2015,10,23,3112044,3112044,0
2015,10,24,3112044,3112044,0
2015,10,25,3112044,3112044,1
2015,10,26,3112044,3112044,0
2015,10,27,3112044,3112044,0
2015,10,28,3112044,3112044,0
2015,10,29,3112044,3112044,1
2015,10,30,3112044,3112044,2
2015,10,31,3112044,3112044,0
2015,11,01,3112044,3112044,0
2015,11,02,3112044,3112044,1
2015,11,03,3112044,3112044,0
2015,11,04,3112044,3112044,0
2015,11,05,3112044,3112044,10
2015,11,06,3112044,3112044,1
2015,11,07,3112044,3112044,5
2015,11,08,3112044,3112044,1
2015,11,09,3112044,3112044,2
2015,11,10,3112044,3112044,0
2015,11,11,3112044,3112044,1
2015,11,12,3112044,3112044,1
2015,11,13,3112044,3112044,1
2015,11,14,3112044,3112044,0
2015,11,15,3112044,3112044,1
2015,11,16,3112044,3112044,4
2015,11,17,3112044,3112044,2
2015,11,18,3112044,3112044,3
2015,11,19,3112044,3112044,0
2015,11,20,3112044,3112044,0
2015,11,21,3112044,3112044,0
2015,11,22,3112044,3112044,0
2015,11,23,3112044,3112044,0
2015,11,24,3112044,3112044,1
2015,11,25,3112044,3112044,0
2015,11,26,3112044,3112044,0
2015,11,27,3112044,3112044,0
2015,11,28,3112044,3112044,0
2015,11,29,3112044,3112044,0
2015,11,30,3112044,3112044,0
2015,12,01,3112044,3112044,4
2015,12,02,3112044,3112044,0
2015,12,03,3112044,3112044,0
2015,12,04,3140305,3112986,1
2015,12,05,3140305,3113928,0
2015,12,06,3140305,3114870,0
2015,12,07,3140305,3115812,0
2015,12,08,3140305,3116754,0
2015,12,09,3140305,3117696,0
2015,12,10,3140305,3118638,1
2015,12,11,3140305,3119580,1
2015,12,12,3140305,3120522,1
2015,12,13,3140305,3121464,0
2015,12,14,3140305,3122406,1
2015,12,15,3140305,3123348,2
2015,12,16,3140305,3124290,0
2015,12,17,3140305,3125232,0
2015,12,18,3140305,3126174,0
2015,12,19,3140305,3127116,0
2015,12,20,3140305,3128058,0
2015,12,21,3140305,3129000,1
2015,12,22,3140305,3129942,0
2015,12,23,3140305,3130884,0
2015,12,24,3140305,3131826,0
2015,12,25,3140305,3132768,0
2015,12,26,3140305,3133710,0
2015,12,27,3140305,3134652,2
2015,12,28,3140305,3135594,0
2015,12,29,3140305,3136536,0
2015,12,30,3140305,3137478,3
2015,12,31,3140305,3138420,1
2016,01,01,3140305,3139362,0
2016,01,02,3140305,3140305,0
2016,01,03,3140305,3140305,1
2016,01,04,3140305,3140305,1
2016,01,05,3140305,3140305,1
2016,01,06,3140305,3140305,0
2016,01,07,3140305,3140305,2
2016,01,08,3140305,3140305,0
